SNo,Advertisement No.,Title,Publish Date,Download Link
52,GEM/2022/B/2796862,PMRD Equipment,30-11-2022 06:51 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/GeM-Bidding-4067373_202211301851978.pdf
53,GEM/2022/B/2737604,Skill lab equipments for College of Nursing,15-11-2022 11:29 AM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/GeM-Bidding-4003945_202211151129531.pdf
54,GEM/2022/B/2658052,IMPLANT PHYSIO-DISPENSER WITH PIEZO SURGERY MODULE (Q3),21-10-2022 01:07 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/GeM-Bidding-3918556_20221021130782.pdf
55,GEM/2022/B/2652786,Ophthalmic Operating Microscopes (Q3),19-10-2022 04:28 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/GeM-Bidding-3917253_202210191628210.pdf
56,GEM/2022/B/2656824,Hematology chemicals,19-10-2022 04:28 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/
57,GEM/2022/B/2655357,Orthopedic Battery Operated Drill System (Q3),19-10-2022 04:28 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/GeM-Bidding-3915713_202210191628754.pdf
58,GEM/2022/B/2652471,Rapid Analysis Kits,19-10-2022 04:28 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/GeM-Bidding-3912677_202210191628343.pdf
59,GEM/2022/B/2651038,Stationary Items,19-10-2022 04:28 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/GeM-Bidding-3911175_202210191628316.pdf
60,GEM/2022/B/2652195,Histopathology Chemicals,19-10-2022 04:28 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/GeM-Bidding-3912391_202210191628838.pdf
61,GEM/2022/B/2611357,Antibiotic Disc,07-10-2022 05:34 PM,https://www.aiimsdeoghar.edu.in/Content/resources/document/tender/GeM-Bidding-%20ANTIBIOTIC%20DISC_202210071734875.pdf
